滿	扑满 	[pu1 man3]	/Spardose, Sparschwein (S)/
旅遊者	旅游者 	[lü3 you2 zhe3]	/Besucher (S)/Tourist (S)/
旅遊護照	旅游护照 	[lü3 you2 hu4 zhao4]	/Reisepass (S)/
旅遊車	旅游车 	[lü3 you2 che1]	/Tourenwagen (S, Kfz)/
旅遊農業	旅游农业 	[lü3 you2 nong2 ye4]	/touristisch genutzte Landwirtschaft, Agrartourismus (S, Wirtsch)/
旅遊開銷	旅游开销 	[lü3 you2 kai1 xiao1]	/Reisekosten (S)/Reisekostenvergütung (S)/
旅遊鞋	旅游鞋 	[lü3 you2 xie2]	/Sportschuhe, Wanderschuhe (S)/
旅長	旅长 	[lü3 chang2]	/Brigadegeneral (S, Mil)/
旅順口區	旅顺口区 	[lü3 shun4 kou3 qu1]	/Lüshunkou (Stadtbezirk von Dalian, Provinz Liaoning, China) (Eig, Geo)/Port Arthur (alter Name von Lüshunkou) (Eig, Geo)/
旅順口	旅顺口 	[lü3 shun4 kou3]	/Lüshunkou (Eig, Geo)/
旅館主人	旅馆主人 	[lü3 guan3 zhu3 ren2]	/Gastwirt (S)/
旅館女接待員	旅馆女接待员 	[lü3 guan3 nü3 jie1 dai4 yuan2]	/Rezeptionistin (S)/
旅館接待處	旅馆接待处 	[lü3 guan3 jie1 dai4 chu4]	/Rezeption (S)/
旅館	旅馆 	[lü3 guan3]	/Hotel (S)/Pension (S)/
旅館服務臺	旅馆服务台 	[lü3 guan3 fu2 wu4 tai2]	/Rezeption (S)/
旅館業	旅馆业 	[lü3 guan3 ye4]	/Hotellerie (S)/
旅館老闆	旅馆老板 	[lü3 guan3 lao3 ban3]	/Hotelier (S)/
旅鴿	旅鸽 	[lü3 ge1]	/Wandertaube (S, Zool)/
旅鶇	旅鸫 	[lü3 dong1]	/Wanderdrossel (S, Zool)/
旅鼠	旅鼠 	[lü3 shu3]	/Lemming, Lemminge (lat. Lemmini) (S, Zool)/
旆	旆 	[pei4]	/Wimpel (S)/Banner (S)/
旊	旊 	[fang3]	/Variante von 瓬[fang3] (X)/
旋上	旋上 	[xuan4 shang4]	/anschrauben (V)/
旋下	旋下 	[xuan4 xia4]	/abschrauben, lösen (V)/
旋光	旋光 	[xuan2 guang1]	/Optische Aktivität (S, Chem)/
旋出	旋出 	[xuan4 chu1]	/abschrauben (V)/
旋前肌	旋前肌 	[xuan4 qian2 ji1]	/Pronation (Einwärtsdrehung der Gliedmaßen) (Anat) (S, Med)/
旋即	旋即 	[xuan2 ji2]	/sofort (Adv)/
旋去	旋去 	[xuan2 qu4]	/abschrauben, lösen (V)/
旋回	旋回 	[xuan4 hui2]	/Drehung (S)/
旋坯成形	旋坯成形 	[xuan4 pi1 cheng2 xing2]	/Dreh (S)/
旋塞	旋塞 	[xuan4 sai1]	/Hahn, Absperrhahn (S)/
旋壓鑄造	旋压铸造 	[xuan4 ya1 zhu4 zao4]	/Walzlegierung (S)/
旋子	旋子 	[xuan2 zi5]	/Warteschleifen drehen (V)/
旋律優美	旋律优美 	[xuan2 lü4 you1 mei3]	/melodisch, sanglich, gesangvoll (Adj)/
旋律	旋律 	[xuan2 lü4]	/Melodie (S, Mus)/Rhythmus (S)/rhythmisch (Adj)/
旋律配合	旋律配合 	[xuan2 lü4 pei4 he5]	/Kontrapunkt (S)/
旋	旋 	[xuan2]	/drehen, umkreisen (V)/
旋暈	旋晕 	[xuan2 yun1]	/schwindlig (Adv)/
旋曲	旋曲 	[xuan4 qu3]	/Schnörkel (S)/
旋木雀科	旋木雀科 	[xuan2 mu4 qiao3 ke1]	/Baumläufer (S, Zool)/
旋松	旋松 	[xuan4 song1]	/lösen, abschrauben (V)/
旋流風口	旋流风口 	[xuan2 liu2 feng1 kou3]	/Drallluftauslass (S, Tech)/
旋渦	旋涡 	[xuan2 wo1]	/wirbeln (V)/
旋磁共振	旋磁共振 	[xuan2 ci2 gong4 zhen4]	/Kernspinresonanz (S)/
旋緊	旋紧 	[xuan2 jin3]	/festdrehen (V)/
旋線	旋線 	[xuan2 xian4]	/Schneckenlinie (S)/Spirale (S)/gewunden (Adj)/
旋翼	旋翼 	[xuan2 yi4]	/Flügel, Rotor, Hubschraube (S, Tech)/
旋舞	旋舞 	[xuan2 wu3]	/Drehtanz (S)/Rundtanz (S)/
旋花屬	旋花属 	[xuan2 hua1 shu3]	/Winden (lat: Convolvulus) (S, Bot)/
旋花	旋花 	[xuan2 hua1]	/Winde (S, Bot)/
旋花科	旋花科 	[xuan2 hua1 ke1]	/Windengewächse (S, Bot)/
旋螺	旋螺 	[xuan2 luo2]	/Schneckenlinie (S)/Spirale (S)/gewunden (Adj)/
旋裝	旋装 	[xuan2 zhuang1]	/anschrauben, einschrauben (V, Tech)/
旋角羚	旋角羚 	[xuan4 jiao3 ling2]	/Mendesantilope (S, Zool)/
旋轉乾燥機	旋转干燥机 	[xuan2 zhuan3 gan1 zao4 ji1]	/Wäscheschleuder (S)/
旋轉件	旋转件 	[xuan2 zhuan3 jian4]	/bewegtes Maschinenteil (S)/
旋轉傾斜支座	旋转倾斜支座 	[xuan2 zhuan3 qing1 xie2 zhi1 zuo4]	/Drehsattel (S)/Neigesattel (Schneidemaschine) (S)/
旋轉儀	旋转仪 	[xuan2 zhuan3 yi2]	/gyroskopisch (Adj)/
旋轉包裝	旋转包装 	[xuan2 zhuan3 bao1 zhuang1]	/Dreheinschlag (S)/
旋轉吸氣嘴	旋转吸气嘴 	[xuan2 zhuan3 xi1 qi4 zui3]	/Drehsauger (S, Tech)/
旋轉場	旋转场 	[xuan2 zhuan3 chang3]	/Drehfeld (S)/
旋轉式	旋转式 	[xuan2 zhuan3 shi4]	/umlaufen (V)/
旋轉式發射器	旋转式发射器 	[xuan2 zhuan3 shi4 fa1 she4 qi4]	/Drehübertrager (S, Phys)/
旋轉式紙板剪刀	旋转式纸板剪刀 	[xuan2 zhuan3 shi4 zhi3 ban3 jian3 dao1]	/Kreiskartonschere (S)/
旋轉支座	旋转支座 	[xuan2 zhuan3 zhi1 zuo4]	/Drehsattel (Papierschneidemaschine) (S)/
旋轉方向	旋转方向 	[xuan2 zhuan3 fang1 xiang4]	/Drehrichtung (S)/
旋轉	旋转 	[xuan2 zhuan3]	/Drehung (S, Math)/drehen (V)/
旋轉曝光	旋转曝光 	[xuan2 zhuan3 pu4 guang1]	/Rundbelichtung (S)/
旋轉木馬	旋转木马 	[xuan2 zhuan3 mu4 ma3]	/Karussell (S)/
旋轉椅的臺座	旋转椅的台座 	[xuan2 zhuan3 yi3 de5 tai2 zuo4]	/Drehlager (S)/
旋轉槳	旋转桨 	[xuan2 zhuan3 jiang3]	/Schiffsschraube (S)/
旋轉活塞泵	旋转活塞泵 	[xuan2 zhuan3 huo2 sai1 beng4]	/Drehkolbenpumpe (S)/
旋轉活塞發動機	旋转活塞发动机 	[xuan2 zhuan3 huo2 sai1 fa1 dong4 ji1]	/Kreiskolbenmotor (S, Kfz)/
旋轉滑板	旋转滑板 	[xuan2 zhuan3 hua2 ban3]	/Drehschlitten (S)/
旋轉的字母	旋转的字母 	[xuan2 zhuan3 de5 zi4 mu3]	/gestürzter Buchstabe (S)/
旋轉矩陣	旋转矩阵 	[xuan2 zhuan3 ju3 zhen4]	/Drehmatrix (S, Math)/Rotationsmatrix (S, Math)/
旋轉磁場	旋转磁场 	[xuan2 zhuan3 ci2 chang3]	/Drehfeld (S)/
旋轉磁場監控	旋转磁场监控 	[xuan2 zhuan3 ci2 chang3 jian1 kong4]	/Drehfeldüberwachung (S)/
旋轉臺	旋转台 	[xuan2 zhuan3 tai2]	/Drehtisch (S)/
旋轉舞臺	旋转舞台 	[xuan2 zhuan3 wu3 tai2]	/Drehbühne (S, Arch)/
旋轉軸承	旋转轴承 	[xuan2 zhuan3 zhou2 cheng2]	/Drehlager (S)/
旋轉運動	旋转运动 	[xuan2 zhuan3 yun4 dong4]	/Drehbewegung (S)/
旋轉門	旋转门 	[xuan2 zhuan3 men2]	/Drehtür (S)/
旋轉開關	旋转开关 	[xuan2 zhuan3 kai1 guan1]	/Drehschalter (S)/
旋轉餐廳	旋转餐厅 	[xuan2 zhuan3 can1 ting1]	/Drehrestaurant (S)/
旋轉體	旋转体 	[xuan2 zhuan3 ti3]	/Rotationskörper (S, Math)/
旋转角	旋转角 	[xuan2 zhuan3 jiao3]	/Drehkwinkel (S, Math)/
旋鄉	旋乡 	[xuan2 xiang1]	/in die Heimat zurückkehren (V)/
旋里	旋里 	[xuan2 li3]	/in die Heimat zurückkehren (V)/
旋量	旋量 	[xuan2 liang2]	/Spinor (S, Math)/
旋量群	旋量群 	[xuan2 liang4 qun2]	/Spin-Gruppe (S, Math)/
旋鈕	旋钮 	[xuan2 niu3]	/Drehknopf (S)/
旋風	旋风 	[xuan4 feng1]	/Wirbelsturm (S, Met)/
旌德	旌德 	[jing1 de2]	/Jingde (Ort in Anhui) (Eig, Geo)/
旌德縣	旌德县 	[jing1 de2 xian4]	/Kreis Jingde (Provinz Anhui, China) (Eig, Geo)/
旌	旌 	[jing1]	/Banner, Fahne (S)/
旌旗	旌旗 	[jing1 qi2]	/Banner (S)/
旎	旎 	[ni3]	/Fahnenwehen (S)/
族人	族人 	[zu2 ren2]	/Stammeszugehörige (S)/
族別	族别 	[zu2 bie2]	/Nationalität, Volkszugehörigkeit (S, Pol)/
族	族 	[zu2]	/Bevölkerungsschicht (S, Soz)/Familie, Volksgruppe, Klasse (gesellschaftlich) (S, Soz) /Nationalität (S, Pol)/
族款	族款 	[zu2 kuan3]	/Zukuan (Eig, Fam)/
族的吟遊詩人	族的吟游诗人 	[zu2 de5 yin2 you2 shi1 ren2]	/Barde (S)/
族群	族群 	[zu2 qun2]	/Ethnie (S, Ethn)/Sippe, Stamm, Volksgruppe (S)/
族裔	族裔 	[zu2 yi4]	/Nationen (S)/
族譜	族谱 	[zu2 pu3]	/Abstammung (S)/
族長	族长 	[zu2 zhang3]	/Patriarch (S)/
族類	族类 	[zu2 lei4]	/Gruppe, Klasse (S, Soz)/Sippe (S, Soz)/
旐	旐 	[zhao4]	/Banner, Fahne (S)/
旒	旒 	[liu2]	/Quast (S)/
旓	旓 	[shao1]	/Wellenschliff einer chinesischen Fahne (S)/
旖	旖 	[yi3]	/Fahnenwehen (S)/
旗下	旗下 	[qi2 xia4]	/unter der Flagge (S)/
旗人	旗人 	[qi2 ren2]	/Man-Nationalität (in der Qing Dynastie) (S, Ethn)/Banner-Mann (S)/
旗子信號	旗子信号 	[qi2 zi5 xin4 hao4]	/Indianerzelt (S)/
旗子	旗子 	[qi2 zi5]	/Fahne, Flagge, Banner (S, Hera)/
旗山鎮	旗山镇 	[qi2 shan1 zhen4]	/Chishan (Ort in Taiwan) (Eig, Geo)/
旗幟學	旗帜学 	[qi2 zhi4 xue2]	/Vexillologie, Flaggenkunde, Fahnenkunde (S, Hera)/
旗幟	旗帜 	[qi2 zhi4]	/Flagge (S)/Banner (S)/
旗幟週刊	旗帜周刊 	[qi2 zhi4 zhou1 kan1]	/The Weekly Standard (S)/
旗幟鮮明	旗帜鲜明 	[qi2 zhi4 xian1 ming2]	/die Fahne hochhalten (V)/
旗手	旗手 	[qi2 shou3]	/Starter (S)/
旗	旗 	[qi2]	/Fahne (S)/Banner (Verwaltungseineit der Inneren Mongolei) (S, Pol)/ZEW:面[mian4] (X)/
旗月魚科	旗月鱼科 	[qi2 yue4 yu2 ke1]	/Segelträger (eine Fischfamilie, lat: Veliferidae) (S, Zool)/
旗本	旗本 	[qi2 ben3]	/Hatamoto (jap. Samurai) (Eig, Gesch)/
旗杆	旗杆 	[qi2 gan1]	/Fahnenstange (S)/
旗桿	旗杆 	[qi2 gan3]	/Fahnenstange (S, Arch)/
旗津區	旗津区 	[qi2 jin1 qu1]	/Chichin (Distrikt Stadtbezirk von Kaohsiung, Taiwan) (Geo)/
旗竿	旗竿 	[qi2 gan1]	/Fahnenmast (S)/
旗艦店	旗舰店 	[qi2 jian4 dian4]	/Flagship-Store, Hauptfiliale (S)/
旗艦	旗舰 	[qi2 jian4]	/Admiralsschiff, Flaggschiff (S, Mil)/
旗艦點	旗舰点 	[qi2 jian4 dian3]	/Flagshipstore, Vorzeigefiliale (S, Wirtsch)/
旗號	旗号 	[qi2 hao4]	/Aushängeschild (S)/Fahne, Banner (S)/
旗袍	旗袍 	[qi2 pao2]	/Abendkleid, Kleid (chin. Bekleidung für Frauen aus der Qing-Zeit) (S)/Cheongsam (chin. Bekleidung für Frauen aus der Qing-Zeit) (S)/Qipao, Qipao-Kleid (chin. Bekleidung für Frauen aus der Qing-Zeit) (S)/
旗語	旗语 	[qi2 yu3]	/Optische Telegrafie (S, Mil)/
旗魚	旗鱼 	[qi2 yu2]	/Sägefisch (S, Zool)/
旛	旛 	[fan1]	/Stander, Wimpel (S)/
旝	旝 	[kuai4]	/Banner, Signalflagge (alt) (S)/
旟	旟 	[yu2]	/Falkenbanner (S)/zerzaustes Haar (S)/
旡	旡 	[ji4]	/Würgen auf etw. Gegessenes (S)/
既…又	既…又 	[ji4 … you4]	/nicht nur … sondern auch (Redew)/
既又	既又 	[ji4 you4]	/sowohl...als auch (Redew)/
既‥又	既‥又 	[ji4 ‥ you4]	/sowohl...als auch... (Redew)/
既定	既定 	[ji4 ding4]	/festgesetzt, festgelegt, etabliert (Adj)/
既定程序	既定程序 	[ji4 ding4 cheng2 xu4]	/vorprogrammiert (Adj)/festgelegtes Verfahren (S)/
既往不咎	既往不咎 	[ji4 wang3 bu4 jiu4]	/Vergangenes ruhen lassen (V, Sprichw)/zurückliegende Verfehlungen nicht weiter verfolgen (Redew)/
既往	既往 	[ji4 wang3]	/in oder aus der Vergangenheit (S), ehemals (Adv)/
既得利益者	既得利益者 	[ji4 de2 li4 yi4 zhe3]	/jemand, der von einer bestehenden Situation profitiert (S)/
既得	既得 	[ji4 de2]	/bekleiden (V)/
既成	既成 	[ji4 cheng2]	/bereits getan, bereits fertig (Adj)/
既	既 	[ji4]	/schon (Adv), seit (P)/
既是	既是 	[ji4 shi4]	/da, weil (Konj)/
既有	既有 	[ji4 you3]	/leben (V)/
既有運行鐵路線	既有运行铁路线 	[ji4 you3 yun4 xing2 tie3 lu4 xian4]	/schon betriebene Eisenbahnstrecken (S)/
既有鐵路線	既有铁路线 	[ji4 you3 tie3 lu4 xian4]	/(schon) vorhandene Eisenbahnstrecken (S)/
既然	既然 	[ji4 ran2]	/da (Konj)/weil (Konj)/weil...nun, da...nun (Konj)/
既視感	既视感 	[ji4 shi4 gan3]	/Déjà-vu, Deja-vu, Dejavu (S, Psych)/
旣	旣 	[ji4]	/Variante von 既[ji4] (X)/
日久天長	日久天长 	[ri4 jiu3 tian1 chang2]	/nach Jahr und Tag, nach langer Zeit (Redew)/
日俄和親通好條約	日俄和亲通好条约 	[ri4 e2 he4 qin1 tong1 hao3 tiao2 yue1]	/Vertrag von Shimoda (S, Gesch)/
日俄戰爭	日俄战争 	[ri4 e2 zhan4 zheng1]	/Russisch-Japanischer Krieg (S, Gesch)/
日元	日元 	[ri4 yuan2]	/Yen (S)/
日光室	日光室 	[ri4 guang1 shi4]	/Glasveranda (S)/
日光市	日光市 	[ri4 guang1 shi4]	/Nikkō (Stadt in Japan) (Geo)/
日光	日光 	[ri4 guang1]	/Sonnenlicht (S)/solar (Adj)/
日光浴	日光浴 	[ri4 guang1 yu4]	/Sonnenbad (S)/
日光燈	日光灯 	[ri4 guang1 deng1]	/Leuchtstofflampe (S, Tech)/Leuchtstoffröhre (S, Tech)/
日內瓦公約	日内瓦公约 	[ri4 nei4 wa3 gong1 yue1]	/Genfer Konventionen, Genfer Abkommen (Regeln für den Schutz von Personen, die nicht oder nicht mehr an den Kampfhandlungen teilnehmen.) (S, Rechtsw)/
日內瓦國際車展	日内瓦国际车展 	[ri4 nei4 wa3 guo2 ji4 che1 zhan3]	/Genfer Automobilsalon (S, Wirtsch)/Genfer Autosalon (S, Wirtsch)/
日內瓦州	日内瓦州 	[ri4 nei4 wa3 zhou1]	/Kanton Genf (Schweiz) (Geo)/
日內瓦	日内瓦 	[ri4 nei4 wa3]	/Genf (Stadt in der Schweiz) (Geo)/
日內瓦會議	日内瓦会议 	[ri4 nei4 wa3 hui4 yi4]	/Indochinakonferenz (S, Gesch)/
日內瓦汽車展	日内瓦汽车展 	[ri4 nei4 wa3 qi4 che1 zhan3]	/Genfer Auto-Salon (S)/
日內瓦湖	日内瓦湖 	[ri4 nei4 wa3 hu2]	/Genfersee (See in Frankreich und der Schweiz) (Geo)/
日內瓦車展	日内瓦车展 	[ri4 nei4 wa3 che1 zhan3]	/Genfer Auto-Salon (S)/
日內瓦難民公約	日内瓦难民公约 	[ri4 nei4 wa3 nan2 min2 gong1 yue1]	/Genfer Flüchtlingskonvention (S)/
日全蝕	日全蚀 	[ri4 quan2 shi2]	/totale Sonnenfinsternis (S, Astron)/
日全食	日全食 	[ri4 quan2 shi2]	/totale Sonnenfinsternis (S)/
日冕儀	日冕仪 	[ri4 mian3 yi2]	/Koronograf (S, Astron)/
日冕	日冕 	[ri4 mian3]	/Sonnenkorona, Korona (S, Astron)/
日出	日出 	[ri4 chu1]	/Sonnenaufgang (S)/
日出時	日出时 	[ri4 chu1 shi2]	/bei Sonnenaufgang (S)/
日刊體育	日刊体育 	[ri4 kan1 ti3 yu4]	/Nikkan Sports (Publ)/
日前	日前 	[ri4 qian2]	/kürzlich, vor kurzem, unlängst (Adv)/
日劇學院賞	日剧学院赏 	[ri4 ju4 xue2 yuan4 shang3]	/Japanese Academy Awards (Org, Film)/
日化	日化 	[ri4 hua4]	/Alltagschemie (S, Chem)/
日向國	日向国 	[ri4 xiang4 guo2]	/Provinz Hyūga (Gesch)/
日喀則地區	日喀则地区 	[ri4 ka1 ze2 di4 qu1]	/Xigazê, Rikaze (Bezirk in Tibet) (Geo)/
日喀則市	日喀则市 	[ri4 ke4 ze2 shi4]	/Xigazê (bezirksfreie Stadt in Tibet) (Geo)/
日喀則	日喀则 	[ri4 ka1 ze2]	/Xigazê (bezirksfreie Stadt in Tibet) (Geo)/
日喀則	日喀则 	[ri4 ke4 ze2]	/Shigatse, ch. Xigaze (Stadt in central Tibet) (Eig, Geo)/
日国	日國 	[ri4 guo2]	/Spanien (alt) (Geo)/
日圓	日圆 	[ri4 yuan2]	/Yen (S, Wirtsch)/
日土	日土 	[ri4 tu3]	/Ritu (Ort in Tibet) (Eig, Geo)/
日土縣	日土县 	[ri4 tu3 xian4]	/Rutog (Kreis im Autonomen Gebiet Tibet, China) (Eig, Geo)/
日報	日报 	[ri4 bao4]	/Tageszeitung (S, Publ)/taz (Eig, Publ)/
日場	日场 	[ri4 chang3]	/Tagesvorführung (S)/
日壇公園	日坛公园 	[ri4 tan2 gong1 yuan2]	/Sonnentempel-Park (Ritan-Park in Beijing) (Geo)/
日夜呼叫服務	日夜呼叫服务 	[ri4 ye4 hu1 jiao4 fu2 wu4]	/Vierundzwanzigstunden-Rufbereitschaft (S)/
日夜	日夜 	[ri4 ye4]	/rund um die Uhr, Tag und Nacht (S)/24 Stunden am Tag (temp)/
日夜護理	日夜护理 	[ri4 ye4 hu4 li3]	/Ganztagsbetreuung, Tages- und Nachtbetreuung (S)/
日好一日	日好一日 	[ri4 hao3 yi1 ri4]	/täglich besser werden (V)/
日子	日子 	[ri4 zi3]	/bis dato, bis heute (Adv)/Tag (S)/Tagesanbruch (S)/Tagespreis (S)/Tageszeit (S)/Termin (S)/
日子	日子 	[ri4 zi5]	/Tagesablauf (S)/
日子里	日子里 	[ri4 zi3 li3]	/Tage (S, temp)/
日射	日射 	[ri4 she4]	/Einstrahlung (S)/Sonneneinstrahlung (S)/
日射率	日射率 	[ri4 she4 shuai4]	/Sonneneinstrahlung (S)/
日射病	日射病 	[ri4 she4 bing4]	/Sonnenstich (S)/
日就月將	日就月将 	[ri4 jiu4 yue4 jiang1]	/stetige Fortschritte machen (V, Sprichw)/täglich Fortschritte machen (V, Sprichw)/
日師	日師 	[ri4 shi1]	/Chronomant (S)/Zeitmagier (S)/
日常問題	日常问题 	[ri4 chang2 wen4 ti2]	/Alltagsproblem (S)/
日常工作安排	日常工作安排 	[ri4 chang2 gong1 zuo4 an1 pai2]	/alltägliche Arbeitsablauf (S)/gewöhnliche Arbeitsablauf (S)/normale Arbeitsablauf (S)/
日常工作	日常工作 	[ri4 chang2 gong1 zuo4]	/Routinearbeit (S)/
日常	日常 	[ri4 chang2]	/täglich (Adj)/
日常服務	日常服务 	[ri4 chang2 fu2 wu4]	/Linienverkehr (S, Infra)/
日常生活	日常生活 	[ri4 chang2 sheng1 huo2]	/Alltagsleben, Alltag, (all)tägliches Leben (S)/
日常生活的瑣事	日常生活的琐事 	[ri4 chang2 sheng1 huo2 de5 suo3 shi4]	/der tägliche Kleinkram (S)/
日常生活的精神病學	日常生活的精神病学 	[ri4 chang2 sheng1 huo2 de5 jing1 shen2 bing4 xue2]	/Zur Psychopathologie des Alltagslebens (Schriften von Sigmund Freud) (Lit, Werk)/
日常維護	日常维护 	[ri4 chang2 wei2 hu4]	/laufende Wartung, Routinewartung (S)/
日常習慣	日常习惯 	[ri4 chang2 xi2 guan4]	/Routine (S)/
日常語言哲學	日常语言哲学 	[ri4 chang2 yu3 yan2 zhe2 xue2]	/Philosophie der normalen Sprache (S, Philos)/
日平均溫度	日平均温度 	[ri4 ping2 jun1 wen1 du4]	/Tagesmitteltemperatur (S)/
日平西	日平西 	[ri4 ping2 xi1]	/Sonnenuntergang (S, Astron)/
日式溫泉	日式温泉 	[ri4 shi4 wen1 quan2]	/jap. Onsen (heiße Quellen) (S, Geo)/
日式漫畫	日式漫画 	[ri4 shi4 man4 hua4]	/Manga (Gesch)/
日式炸蟹鉗	日式炸蟹钳 	[ri4 shi4 zha4 xie4 qian2]	/frittierte Krebsscheren auf japanische Art (S, Ess)/
日式牛肉飯	日式牛肉饭 	[ri4 shi4 niu2 rou4 fan4]	/Gyudon (jap. Essen, große Schüssel mit Reis, Gemüse und Rindfleisch) (Eig, Ess)/
日式麵包王	日式面包王 	[ri4 shi4 mian4 bao1 wang2]	/Yakitate!! Japan (TV-Serie) (Film)/
日後	日后 	[ri4 hou4]	/einmal (Num), irgendeinmal (Adv)/manchmal (Adv)/
日德蘭半島	日德兰半岛 	[ri4 de2 lan2 ban4 dao3]	/Jütland (Insel, Dänemark) (Geo)/
日德蘭海戰	日德兰海战 	[ri4 de2 lan2 hai3 zhan4]	/Skagerrakschlacht (Gesch, Mil)/
日德蘭郵報	日德兰邮报 	[ri4 de2 lan2 you2 bao4]	/Jyllands-Posten (Publ)/
日德蘭郵報穆罕默德漫畫事件	日德兰邮报穆罕默德漫画事件 	[ri4 de2 lan2 you2 bao4 mu4 han3 mo4 de2 man4 hua4 shi4 jian4]	/Das Gesicht Mohammeds (S, Rel)/
日心說	日心说 	[ri4 xin1 shuo1]	/Heliozentrisches Weltbild (S, Astron)/
日息轉入	日息转入 	[ri4 xi1 zhuan3 ru4]	/Fortführung (S)/
日惹	日惹 	[ri4 re3]	/Yogyakarta (Stadt in Indonesien) (Geo)/
日文	日文 	[ri4 wen2]	/japanische Sprache, Japanisch (S, Sprachw)/
日文漢字	日文汉字 	[ri4 wen2 han4 zi4]	/Kanji (S, Sprachw)/
日斯巴尼亞	日斯巴尼亞 	[ri4 si1 ba1 ni2 ya4]	/Spanien (Geo)/Hispanien (Eig, Gesch)/
日新月異	日新月异 	[ri4 xin1 yue4 yi4]	/sich in unglaublich schnellem Tempo verändern (Redew)/
日方	日方 	[ri4 fang1]	/die japanische Seite (S)/
日	日 	[ri4]	/Sonne (S); Bsp.: 日出 日出 -- Sonnenaufgang; Bsp.: 日落 日落 -- Sonnenuntergang; Bsp.: 風和日暖 风和日暖 -- sanfter Wind und warme Sonne/Radikal Nr. 72 = Sonne, Tag (Sprachw)/Tag (S); Bsp.: 今日 今日 -- heute; gegenwärtig; Bsp.: 日班 日班 -- Tagesschicht; Bsp.: 日日夜夜 日日夜夜 -- Tag und Nacht; Bsp.: 次日 次日 -- am nächsten Tag; Bsp.: 來日 来日 -- in den kommenden Tagen/Zeit (S); Bsp.: 夏日 夏日 -- Sommer/ZEW für Tag (Zähl); Bsp.: 一日三餐 一日三餐 -- drei Mahlzeiten am Tag/
日日夜夜	日日夜夜 	[ri4 ri4 ye4 ye4]	/Tag und Nacht (S)/
日日	日日 	[ri4 ri4]	/Tag um Tag (S)/
日昇動畫	日升动画 	[ri4 sheng1 dong4 hua4]	/Sunrise Inc. (Anime Studio) (S)/
日時	日时 	[ri4 shi2]	/Tageszeit (S)/
日晒床	日晒床 	[ri4 shai4 chuang2]	/Solarium (S)/
日晒雨林	日晒雨林 	[ri4 shai4 yu3 lin2]	/bei Wind und Wetter (S)/
日晚	日晚 	[ri4 wan3]	/Abend (S)/
日晷	日晷 	[ri4 gui3]	/Sonnenuhr (S, Gesch)/
日暈	日晕 	[ri4 yun4]	/Aureole (S)/Strahlenkrone (S)/
日曆年	日历年 	[ri4 li4 nian2]	/Kalenderjahr (S)/
日曆底託	日历底托 	[ri4 li4 di3 tuo1]	/Kalenderrückwand (S)/
日曆招貼畫	日历招贴画 	[ri4 li4 zhao1 tie1 hua4]	/Kalenderposter (S)/
日曆	日历 	[ri4 li4]	/Kalender (S)/
日曆月	日历月 	[ri4 li4 yue4]	/Kalendermonat (S)/
日曆本	日历本 	[ri4 li4 ben3]	/Abreißkalender (S, Wirtsch)/
日曆生產	日历生产 	[ri4 li4 sheng1 chan3]	/Kalenderfertigung (S)/
日曆紙	日历纸 	[ri4 li4 zhi3]	/Kalenderpapier (S)/
日曆芯	日历芯 	[ri4 li4 xin4]	/Kalenderblock (S)/
日曆裝訂	日历装订 	[ri4 li4 zhuang1 ding4]	/Kalenderbindung (S)/
日曜日	日曜日 	[ri4 yao4 ri4]	/Sonntag (veraltet?) (S)/
日曬色	日晒色 	[ri4 shai4 se4]	/lohfarben (Adj), helles Rotbraun (S)/RGB-Code #D2B48C (RGB)/
日月如梭	日月如梭 	[ri4 yue4 ru2 suo1]	/Die Zeit fliegt wie ein Weberschiffchen. (S)/
日月暈	日月晕 	[ri4 yue4 yun4]	/Heiligenschein, Hof (S)/
日月潭	日月潭 	[ri4 yue4 tan2]	/Sonne-Mond-See (See in Tsiwan) (Geo)/
日有所思夜有所夢	日有所思夜有所梦 	[ri4 you3 suo3 si1 ye4 you3 suo3 meng4]	/Woran man am Tage denkt, davon träumt man in der Nacht (Sprichw)/
日期	日期 	[ri4 qi1]	/Datum (S)/
日期欄	日期栏 	[ri4 qi1 lan2]	/Datumszeile (S)/
日期簽字	日期签字 	[ri4 qi1 qian1 zi4]	/Datum (und) Unterschrift (S)/
日期變更線	日期变更线 	[ri4 qi1 bian4 geng1 xian4]	/Datumszeile (S)/
日本三景	日本三景 	[ri4 ben3 san1 jing3]	/Drei schönste Landschaften Japans (Matsushima, Ama-no-hashidate und Itsukushima) (Geo)/
日本中央大學	日本中央大学 	[ri4 ben3 zhong1 yang1 da4 xue2]	/Chūō-Universität (Edu)/
日本亞細亞航空	日本亚细亚航空 	[ri4 ben3 ya4 xi4 ya4 hang2 kong1]	/Japan Asia Airways (Wirtsch)/
日本人口	日本人口 	[ri4 ben3 ren2 kou3]	/japanische Bevölkerung, Demografie Japans (S, Soz)/
日本人	日本人 	[ri4 ben3 ren2]	/Japaner, Japanerin (S, Ethn)/
日本佛教	日本佛教 	[ri4 ben3 fo2 jiao4]	/Buddhismus in Japan (Org, Rel)/
日本內閣	日本内阁 	[ri4 ben3 nei4 ge2]	/Japanisches Kabinett (S, Pol)/
日本內閣總理大臣	日本内阁总理大臣 	[ri4 ben3 nei4 ge2 zong3 li3 da4 chen2]	/Premierminister von Japan (S, Pol)/
